15:37:57,15:37:58.0
15:38:02,15:38:3.0
15:38:02,15:38:3.0
15:38:04,15:38:5.0
15:38:08,15:38:9.0
15:38:09,15:38:10.0
15:38:14,15:38:15.0
15:38:15,15:38:16.0
15:38:32,15:38:37.0
15:38:33,15:38:35.0
15:38:34,15:38:36.0
15:38:39,15:38:42.0
15:38:39,15:38:41.0
15:38:45,15:38:48.0
15:38:45,15:38:47.0
15:39:08,15:39:9.0
15:39:09,15:39:10.0
15:39:14,15:39:16.0
15:39:15,15:39:16.0
15:39:16,15:39:17.0
15:39:20,15:39:22.0
15:39:21,15:39:22.0
15:39:22,15:39:22.0
15:39:26,15:39:28.0
15:39:29,15:39:31.0
15:39:30,15:39:32.0
15:39:35,15:39:37.0
15:39:35,15:39:37.0
15:39:37,15:39:39.0
15:46:29,15:46:29.0
15:46:33,15:46:29.0
15:46:35,15:46:35.0
15:46:35,15:46:35.0
15:46:41,15:46:41.0
15:46:41,15:46:41.0
15:47:05,15:47:6.0
15:47:05,15:47:6.0
15:47:05,15:47:6.0
15:47:11,15:47:12.0
15:47:11,15:47:12.0
15:47:17,15:47:19.0
15:47:17,15:47:18.0
15:47:21,15:47:20.0
15:47:23,15:47:25.0
15:47:23,15:47:25.0
15:47:29,15:47:31.0
15:47:29,15:47:31.0
15:47:35,15:47:37.0
15:47:35,15:47:37.0
15:47:39,15:47:38.0
15:47:41,15:47:43.0
15:47:41,15:47:43.0
15:47:47,15:47:49.0
15:47:47,15:47:49.0
15:47:51,15:47:50.0
15:47:53,15:47:55.0
15:47:53,15:47:55.0
15:47:58,15:47:56.0
15:47:59,15:48:1
15:47:59,15:48:1
15:48:05,15:48:7.0
15:48:05,15:48:7.0
15:48:09,15:48:8.0
15:48:11,15:48:13.0
15:48:12,15:48:14.0
15:48:17,15:48:19.0
15:48:17,15:48:19.0
15:48:23,15:48:25.0
15:48:23,15:48:25.0
15:48:28,15:48:26.0
15:48:29,15:48:31.0
15:48:29,15:48:31.0
15:48:35,15:48:37.0
15:48:35,15:48:37.0
15:48:39,15:48:38.0
15:48:41,15:48:43.0
15:48:42,15:48:43.0
15:48:47,15:48:45.0
15:48:47,15:48:49.0
15:48:47,15:48:49.0
15:48:53,15:48:55.0
15:48:53,15:48:55.0
15:48:57,15:48:55.0
15:48:59,15:49:1
15:48:59,15:49:1
15:52:05,15:52:6.0
